policy,size_bytes,iters,avg_malloc_ns,avg_free_ns,overhead_bytes
BEST_FIT,1,200000,36.1970,32.8971,32
BEST_FIT,2,200000,37.0853,33.9162,32
BEST_FIT,4,200000,35.8943,32.8418,32
BEST_FIT,8,200000,35.5098,32.3214,32
BEST_FIT,16,200000,36.2416,32.4231,32
BEST_FIT,32,200000,36.1044,32.1643,32
BEST_FIT,64,200000,35.9834,32.3679,32
BEST_FIT,128,200000,36.0728,32.6741,32
BEST_FIT,256,200000,37.2266,33.9383,32
BEST_FIT,512,200000,36.2973,32.5326,32
BEST_FIT,1024,200000,35.5174,32.0211,32
BEST_FIT,2048,50000,35.1962,32.8678,32
BEST_FIT,4096,50000,35.8422,32.0154,32
BEST_FIT,8192,50000,37.4106,33.6970,32
BEST_FIT,16384,50000,37.3976,31.9692,32
BEST_FIT,32768,50000,35.4216,32.3831,32
BEST_FIT,65536,50000,36.6373,31.8076,32
BEST_FIT,131072,5000,38.1400,32.9624,32
BEST_FIT,262144,5000,37.8936,32.6206,32
BEST_FIT,524288,5000,37.6778,32.1172,32
BEST_FIT,1048576,5000,38.8960,32.8344,32
BEST_FIT,2097152,800,34.9500,31.6863,32
BEST_FIT,4194304,800,36.4550,33.0637,32
BEST_FIT,8388608,800,36.1638,31.7737,32
