policy,size_bytes,iters,avg_malloc_ns,avg_free_ns,overhead_bytes
BUDDY,1,200000,202.3281,163.7656,32
BUDDY,2,200000,197.2874,163.9832,32
BUDDY,4,200000,198.6119,161.8037,32
BUDDY,8,200000,194.5911,163.4008,32
BUDDY,16,200000,203.5109,163.3043,32
BUDDY,32,200000,189.8315,160.7416,32
BUDDY,64,200000,206.0655,165.2800,32
BUDDY,128,200000,207.8989,168.2067,32
BUDDY,256,200000,207.2150,165.9056,32
BUDDY,512,200000,203.8485,165.6002,32
BUDDY,1024,200000,200.5076,165.6499,32
BUDDY,2048,50000,199.8641,165.8696,32
BUDDY,4096,50000,197.1828,166.5505,32
BUDDY,8192,50000,186.2220,157.9740,32
BUDDY,16384,50000,178.2440,157.2843,32
BUDDY,32768,50000,177.1818,157.5158,32
BUDDY,65536,50000,173.8083,158.0204,32
BUDDY,131072,5000,176.2184,158.6992,32
BUDDY,262144,5000,146.0902,138.3990,32
BUDDY,524288,5000,147.5666,134.0946,32
BUDDY,1048576,5000,153.7142,139.5162,32
BUDDY,2097152,800,152.0488,142.4313,32
BUDDY,4194304,800,142.9988,141.9112,32
BUDDY,8388608,800,144.2363,140.5550,32
