policy,size_bytes,iters,avg_malloc_ns,avg_free_ns,overhead_bytes
FIRST_FIT,1,200000,37.3962,34.0639,32
FIRST_FIT,2,200000,34.1313,31.1856,32
FIRST_FIT,4,200000,34.6899,31.3961,32
FIRST_FIT,8,200000,35.6891,32.7940,32
FIRST_FIT,16,200000,36.7593,33.3776,32
FIRST_FIT,32,200000,35.4453,32.4775,32
FIRST_FIT,64,200000,35.6477,32.7895,32
FIRST_FIT,128,200000,35.2063,31.9834,32
FIRST_FIT,256,200000,35.3356,32.6972,32
FIRST_FIT,512,200000,35.3335,33.5258,32
FIRST_FIT,1024,200000,34.7626,33.2814,32
FIRST_FIT,2048,50000,33.6068,33.2905,32
FIRST_FIT,4096,50000,35.9595,35.3272,32
FIRST_FIT,8192,50000,37.7148,36.0348,32
FIRST_FIT,16384,50000,35.1780,33.1884,32
FIRST_FIT,32768,50000,34.9874,32.9812,32
FIRST_FIT,65536,50000,35.7864,33.8267,32
FIRST_FIT,131072,5000,35.4736,33.3256,32
FIRST_FIT,262144,5000,33.7260,33.1526,32
FIRST_FIT,524288,5000,35.0880,33.8270,32
FIRST_FIT,1048576,5000,36.7972,35.8576,32
FIRST_FIT,2097152,800,33.6562,32.6650,32
FIRST_FIT,4194304,800,34.6550,34.1437,32
FIRST_FIT,8388608,800,34.9338,33.0000,32
