policy,size_bytes,iters,avg_malloc_ns,avg_free_ns,overhead_bytes
MIXED,1,200000,37.7648,32.6735,32
MIXED,2,200000,37.5159,32.7941,32
MIXED,4,200000,37.3118,33.1426,32
MIXED,8,200000,37.8370,32.6878,32
MIXED,16,200000,37.2108,32.9299,32
MIXED,32,200000,37.4336,32.0464,32
MIXED,64,200000,37.6524,32.4722,32
MIXED,128,200000,37.7739,32.7573,32
MIXED,256,200000,37.2754,32.9139,32
MIXED,512,200000,37.7784,33.4442,32
MIXED,1024,200000,37.6349,32.8275,32
MIXED,2048,50000,37.5046,31.6726,32
MIXED,4096,50000,38.1811,33.6229,32
MIXED,8192,50000,37.8935,33.6449,32
MIXED,16384,50000,39.5753,33.6263,32
MIXED,32768,50000,39.2427,34.6901,32
MIXED,65536,50000,38.0270,32.2341,32
MIXED,131072,5000,37.9204,32.0240,32
MIXED,262144,5000,37.5350,31.4544,32
MIXED,524288,5000,39.6574,34.0214,32
MIXED,1048576,5000,37.6850,31.4202,32
MIXED,2097152,800,36.5887,33.4138,32
MIXED,4194304,800,36.1150,33.1475,32
MIXED,8388608,800,38.7650,35.9200,32
