policy,size_bytes,iters,avg_malloc_ns,avg_free_ns,overhead_bytes
WORST_FIT,1,200000,36.4697,32.6093,32
WORST_FIT,2,200000,36.2927,32.3570,32
WORST_FIT,4,200000,36.4081,33.1584,32
WORST_FIT,8,200000,36.7680,32.5151,32
WORST_FIT,16,200000,36.2557,32.3490,32
WORST_FIT,32,200000,36.6885,32.1091,32
WORST_FIT,64,200000,36.4034,32.7782,32
WORST_FIT,128,200000,35.8600,33.3568,32
WORST_FIT,256,200000,35.9388,33.7545,32
WORST_FIT,512,200000,35.9963,32.4831,32
WORST_FIT,1024,200000,36.1529,32.3602,32
WORST_FIT,2048,50000,35.9161,31.6847,32
WORST_FIT,4096,50000,36.2125,32.6575,32
WORST_FIT,8192,50000,36.2579,32.4034,32
WORST_FIT,16384,50000,36.4752,33.1442,32
WORST_FIT,32768,50000,36.3369,32.9021,32
WORST_FIT,65536,50000,35.4830,32.5032,32
WORST_FIT,131072,5000,35.3974,30.3918,32
WORST_FIT,262144,5000,35.0666,30.8276,32
WORST_FIT,524288,5000,35.6984,32.8648,32
WORST_FIT,1048576,5000,35.7830,32.6528,32
WORST_FIT,2097152,800,35.3787,33.3912,32
WORST_FIT,4194304,800,35.6213,31.4375,32
WORST_FIT,8388608,800,41.4500,40.0900,32
