policy,event,op,req_bytes,utilization,cur_inuse_bytes,overhead_bytes
BUDDY,0,malloc,55517,0.0009760857,65504,352
BUDDY,1,malloc,19671,0.0742316246,4981600,3584
BUDDY,2,malloc,34271,0.1421465874,9539296,6752
BUDDY,3,malloc,7012,0.2030806541,13628512,10016
BUDDY,4,malloc,22263,0.2751383781,18464224,13056
BUDDY,5,malloc,15060,0.3404440880,22846816,16256
BUDDY,6,malloc,28335,0.4149813652,27848928,19488
BUDDY,7,malloc,41676,0.4837813377,32466016,22560
BUDDY,8,malloc,26160,0.5491938591,36855776,25952
BUDDY,9,malloc,62101,0.6144843102,41237344,29056
BUDDY,10,malloc,27392,0.6816439629,45744352,32224
BUDDY,11,malloc,57069,0.7418379784,49783904,35488
BUDDY,12,malloc,4487,0.8029475212,53884896,38656
BUDDY,13,malloc,19403,0.8672156334,58197856,41888
BUDDY,14,malloc,47319,0.9318728447,62536928,44992
BUDDY,15,malloc,19590,0.9986357689,67017312,48160
BUDDY,16,malloc,63966,0.9992599487,67059200,48192
BUDDY,17,malloc,50072,0.9992818832,67060672,48192
BUDDY,18,malloc,55428,0.9992818832,67060672,48192
BUDDY,19,malloc,59271,0.9992818832,67060672,48192
BUDDY,20,malloc,4983,0.9992818832,67060672,48192
BUDDY,21,malloc,8900,0.9992818832,67060672,48192
BUDDY,22,malloc,63203,0.9992818832,67060672,48192
BUDDY,23,malloc,16222,0.9992818832,67060672,48192
BUDDY,24,malloc,12634,0.9992818832,67060672,48192
BUDDY,25,malloc,33683,0.9992818832,67060672,48192
BUDDY,26,malloc,19487,0.9992818832,67060672,48192
BUDDY,27,malloc,565,0.9992818832,67060672,48192
BUDDY,28,malloc,63287,0.9992818832,67060672,48192
BUDDY,29,malloc,38612,0.9992818832,67060672,48192
BUDDY,30,malloc,65240,0.9992818832,67060672,48192
BUDDY,31,malloc,7458,0.9992818832,67060672,48192
BUDDY,32,malloc,61165,0.9992818832,67060672,48192
BUDDY,33,malloc,50728,0.9992818832,67060672,48192
BUDDY,34,malloc,28299,0.9992818832,67060672,48192
BUDDY,35,malloc,22728,0.9992818832,67060672,48192
BUDDY,36,malloc,11743,0.9992818832,67060672,48192
BUDDY,37,malloc,38250,0.9992818832,67060672,48192
BUDDY,38,malloc,43652,0.9992818832,67060672,48192
BUDDY,39,malloc,2610,0.9992818832,67060672,48192
BUDDY,40,free,0,0.9983057976,66995168,48192
BUDDY,41,free,0,0.9606099129,64465440,47968
BUDDY,42,free,0,0.9249892235,62074976,47744
BUDDY,43,free,0,0.8930077553,59928736,47520
BUDDY,44,free,0,0.8577685356,57563872,47296
BUDDY,45,free,0,0.8227581978,55214368,47040
BUDDY,46,free,0,0.7873206139,52836192,46720
BUDDY,47,free,0,0.7524628639,50496928,46496
BUDDY,48,free,0,0.7222743034,48471008,46144
BUDDY,49,free,0,0.6861653328,46047776,45952
BUDDY,50,free,0,0.6545424461,43925600,45632
BUDDY,51,free,0,0.6236062050,41849504,45408
BUDDY,52,free,0,0.5979647636,40128736,45088
BUDDY,53,free,0,0.5633816719,37807904,44928
BUDDY,54,free,0,0.5308127403,35622240,44672
BUDDY,55,free,0,0.4972596169,33370528,44416
BUDDY,56,malloc,10683,0.4974961281,33386400,44384
BUDDY,57,malloc,14144,0.5632290840,37797664,44384
BUDDY,58,malloc,22777,0.6320595741,42416800,44384
BUDDY,59,malloc,32174,0.6976323128,46817312,44384
BUDDY,60,malloc,9281,0.7588639259,50926496,44608
BUDDY,61,malloc,61349,0.8251919746,55377696,44960
BUDDY,62,malloc,33793,0.8878731728,59584160,45792
BUDDY,63,malloc,55740,0.9536213875,63996448,47392
BUDDY,64,malloc,60275,0.9991641045,67052768,49024
BUDDY,65,malloc,44924,0.9992618561,67059328,49056
BUDDY,66,malloc,48655,0.9992690086,67059808,49056
BUDDY,67,malloc,20981,0.9992690086,67059808,49056
BUDDY,68,malloc,33735,0.9992690086,67059808,49056
BUDDY,69,malloc,9975,0.9992690086,67059808,49056
BUDDY,70,malloc,27013,0.9992690086,67059808,49056
BUDDY,71,malloc,35792,0.9992690086,67059808,49056
BUDDY,72,malloc,26073,0.9992690086,67059808,49056
BUDDY,73,malloc,29833,0.9992690086,67059808,49056
BUDDY,74,malloc,41199,0.9992690086,67059808,49056
BUDDY,75,malloc,52675,0.9992690086,67059808,49056
BUDDY,76,free,0,0.5017728806,33673408,45184
BUDDY,77,free,0,0.4360399246,29262144,39968
BUDDY,78,free,0,0.3672094345,24643008,34624
BUDDY,79,free,0,0.3016366959,20242496,28480
BUDDY,80,free,0,0.2404050827,16133312,21952
BUDDY,81,free,0,0.1740770340,11682112,16096
BUDDY,82,free,0,0.1113958359,7475648,10880
BUDDY,83,free,0,0.0456476212,3063360,5280
BUDDY,84,malloc,24570,0.0004878044,32736,384
BUDDY,85,malloc,20410,0.0683569908,4587360,3616
BUDDY,86,malloc,18531,0.1342959404,9012448,6752
BUDDY,87,malloc,26577,0.1971144676,13228128,9856
BUDDY,88,malloc,12681,0.2609171867,17509856,13088
BUDDY,89,malloc,16441,0.3205924034,21514592,16384
BUDDY,90,malloc,48999,0.3832888603,25722080,19552
BUDDY,91,malloc,10463,0.4503951073,30225504,22688
BUDDY,92,malloc,49571,0.5120158195,34360800,25984
BUDDY,93,malloc,63462,0.5817313194,39039328,29216
BUDDY,94,malloc,54926,0.6496767998,43599072,32352
BUDDY,95,malloc,63919,0.7164473534,48079968,35456
BUDDY,96,malloc,30524,0.7853693962,52705248,38720
BUDDY,97,malloc,26524,0.8526587486,57220960,41920
BUDDY,98,malloc,53542,0.9199404716,61736160,45024
BUDDY,99,malloc,53482,0.9843459129,66058336,48256
BUDDY,100,malloc,50036,0.9992551804,67058880,48992
BUDDY,101,malloc,51517,0.9992623329,67059360,49024
BUDDY,102,malloc,19391,0.9992694855,67059840,49024
BUDDY,103,malloc,44719,0.9992694855,67059840,49024
BUDDY,104,malloc,17227,0.9992694855,67059840,49024
BUDDY,105,malloc,23541,0.9992694855,67059840,49024
BUDDY,106,malloc,54079,0.9992694855,67059840,49024
BUDDY,107,malloc,32178,0.9992694855,67059840,49024
BUDDY,108,malloc,41594,0.9992694855,67059840,49024
BUDDY,109,malloc,47844,0.9992694855,67059840,49024
BUDDY,110,malloc,45879,0.9992694855,67059840,49024
BUDDY,111,malloc,56042,0.9992694855,67059840,49024
BUDDY,112,malloc,45352,0.9992694855,67059840,49024
BUDDY,113,malloc,29217,0.9992694855,67059840,49024
BUDDY,114,malloc,45149,0.9992694855,67059840,49024
BUDDY,115,malloc,24839,0.9992694855,67059840,49024
BUDDY,116,malloc,54186,0.9992694855,67059840,49024
BUDDY,117,malloc,23312,0.9992694855,67059840,49024
BUDDY,118,malloc,1699,0.9992694855,67059840,49024
BUDDY,119,malloc,28391,0.9992694855,67059840,49024
BUDDY,120,malloc,60770,0.9992694855,67059840,49024
BUDDY,121,malloc,50818,0.9992694855,67059840,49024
BUDDY,122,malloc,21768,0.9992694855,67059840,49024
BUDDY,123,malloc,15581,0.9992694855,67059840,49024
BUDDY,124,free,0,0.9987816811,67027104,49024
BUDDY,125,free,0,0.9621386528,64568032,48832
BUDDY,126,free,0,0.9307217598,62459680,48704
BUDDY,127,free,0,0.8965201378,60164448,48640
BUDDY,128,free,0,0.8649811745,58047904,48416
