policy,event,op,req_bytes,utilization,cur_inuse_bytes,overhead_bytes
FIRST_FIT,0,malloc,55517,0.0008273125,55520,64
FIRST_FIT,1,malloc,19671,0.0579414964,3888388,3264
FIRST_FIT,2,malloc,34271,0.1098973751,7375088,6464
FIRST_FIT,3,malloc,7012,0.1549789310,10400460,9664
FIRST_FIT,4,malloc,22263,0.2088937759,14018624,12864
FIRST_FIT,5,malloc,15060,0.2568583488,17237472,16064
FIRST_FIT,6,malloc,28335,0.3115651011,20908780,19264
FIRST_FIT,7,malloc,41676,0.3613332510,24248664,22464
FIRST_FIT,8,malloc,26160,0.4110516310,27585208,25664
FIRST_FIT,9,malloc,62101,0.4590567946,30806780,28864
FIRST_FIT,10,malloc,27392,0.5109800696,34291292,32064
FIRST_FIT,11,malloc,57069,0.5564615726,37343504,35264
FIRST_FIT,12,malloc,4487,0.6014901996,40365324,38464
FIRST_FIT,13,malloc,19403,0.6497880816,43606540,41664
FIRST_FIT,14,malloc,47319,0.6981302500,46850728,44864
FIRST_FIT,15,malloc,19590,0.7486255765,50239412,48064
FIRST_FIT,16,malloc,63966,0.7968010902,53472416,51264
FIRST_FIT,17,malloc,50072,0.8386494517,56280812,54464
FIRST_FIT,18,malloc,55428,0.8872936368,59545268,57664
FIRST_FIT,19,malloc,59271,0.9371169806,62888856,60864
FIRST_FIT,20,malloc,4983,0.9886814356,66349288,64064
FIRST_FIT,21,malloc,8900,0.9990311861,67043848,64896
FIRST_FIT,22,malloc,63203,0.9990311861,67043848,64896
FIRST_FIT,23,malloc,16222,0.9990311861,67043848,64896
FIRST_FIT,24,malloc,12634,0.9990311861,67043848,64896
FIRST_FIT,25,malloc,33683,0.9990311861,67043848,64896
FIRST_FIT,26,malloc,19487,0.9990311861,67043848,64896
FIRST_FIT,27,malloc,565,0.9990311861,67043848,64896
FIRST_FIT,28,malloc,63287,0.9990311861,67043848,64896
FIRST_FIT,29,malloc,38612,0.9990311861,67043848,64896
FIRST_FIT,30,malloc,65240,0.9990311861,67043848,64896
FIRST_FIT,31,malloc,7458,0.9990311861,67043848,64896
FIRST_FIT,32,malloc,61165,0.9990311861,67043848,64896
FIRST_FIT,33,malloc,50728,0.9990311861,67043848,64896
FIRST_FIT,34,malloc,28299,0.9990311861,67043848,64896
FIRST_FIT,35,malloc,22728,0.9990311861,67043848,64896
FIRST_FIT,36,malloc,11743,0.9990311861,67043848,64896
FIRST_FIT,37,malloc,38250,0.9990311861,67043848,64896
FIRST_FIT,38,malloc,43652,0.9990311861,67043848,64896
FIRST_FIT,39,malloc,2610,0.9990311861,67043848,64896
FIRST_FIT,40,free,0,0.9982038736,66988328,64896
FIRST_FIT,41,free,0,0.9686678052,65006196,64896
FIRST_FIT,42,free,0,0.9419003129,63209860,64896
FIRST_FIT,43,free,0,0.9181639552,61616940,64896
FIRST_FIT,44,free,0,0.8917477727,59844180,64896
FIRST_FIT,45,free,0,0.8659304976,58111612,64896
FIRST_FIT,46,free,0,0.8399447203,56367736,64896
FIRST_FIT,47,free,0,0.8155394793,54729928,64896
FIRST_FIT,48,free,0,0.7924055457,53177436,64896
FIRST_FIT,49,free,0,0.7655392885,51374472,64896
FIRST_FIT,50,free,0,0.7412900329,49747132,64896
FIRST_FIT,51,free,0,0.7178896666,48176760,64896
FIRST_FIT,52,free,0,0.6983696222,46866792,64896
FIRST_FIT,53,free,0,0.6718849540,45089436,64896
FIRST_FIT,54,free,0,0.6473724246,43444428,64896
FIRST_FIT,55,free,0,0.6212716699,41692836,64896
FIRST_FIT,56,free,0,0.5959321856,39992332,64896
FIRST_FIT,57,free,0,0.5780878067,38794816,64896
FIRST_FIT,58,free,0,0.5551326871,37254324,64896
FIRST_FIT,59,free,0,0.5294287801,35529364,64896
FIRST_FIT,60,free,0,0.5021451712,33698392,64896
FIRST_FIT,61,malloc,10683,0.4970738292,33358060,64928
FIRST_FIT,62,malloc,14144,0.5455445647,36610876,68128
FIRST_FIT,63,malloc,22777,0.5948231816,39917908,71296
FIRST_FIT,64,malloc,32174,0.6465767026,43391028,74400
FIRST_FIT,65,malloc,9281,0.6923105121,46460172,77504
FIRST_FIT,66,malloc,61349,0.7415241003,49762840,80672
FIRST_FIT,67,malloc,33793,0.7856886387,52726672,83648
FIRST_FIT,68,malloc,55740,0.8337970972,55955176,86752
FIRST_FIT,69,malloc,60275,0.8764458895,58817288,89696
FIRST_FIT,70,malloc,44924,0.9149034023,61398128,92384
