policy,event,op,req_bytes,utilization,cur_inuse_bytes,overhead_bytes
MIXED,0,malloc,55517,0.0008273125,55520,64
MIXED,1,malloc,19671,0.0579414964,3888388,3264
MIXED,2,malloc,34271,0.1098973751,7375088,6464
MIXED,3,malloc,7012,0.1549789310,10400460,9664
MIXED,4,malloc,22263,0.2088937759,14018624,12864
MIXED,5,malloc,15060,0.2568583488,17237472,16064
MIXED,6,malloc,28335,0.3115651011,20908780,19264
MIXED,7,malloc,41676,0.3613332510,24248664,22464
MIXED,8,malloc,26160,0.4110516310,27585208,25664
MIXED,9,malloc,62101,0.4590567946,30806780,28864
MIXED,10,malloc,27392,0.5109800696,34291292,32064
MIXED,11,malloc,57069,0.5564615726,37343504,35264
MIXED,12,malloc,4487,0.6014901996,40365324,38464
MIXED,13,malloc,19403,0.6497880816,43606540,41664
MIXED,14,malloc,47319,0.6981302500,46850728,44864
MIXED,15,malloc,19590,0.7486255765,50239412,48064
MIXED,16,malloc,63966,0.7968010902,53472416,51264
MIXED,17,malloc,50072,0.8386494517,56280812,54464
MIXED,18,malloc,55428,0.8872936368,59545268,57664
MIXED,19,malloc,59271,0.9371169806,62888856,60864
MIXED,20,malloc,4983,0.9886814356,66349288,64064
MIXED,21,malloc,8900,0.9990311861,67043848,64896
MIXED,22,malloc,63203,0.9990311861,67043848,64896
MIXED,23,malloc,16222,0.9990311861,67043848,64896
MIXED,24,malloc,12634,0.9990311861,67043848,64896
MIXED,25,malloc,33683,0.9990311861,67043848,64896
MIXED,26,malloc,19487,0.9990311861,67043848,64896
MIXED,27,malloc,565,0.9990311861,67043848,64896
MIXED,28,malloc,63287,0.9990311861,67043848,64896
MIXED,29,malloc,38612,0.9990311861,67043848,64896
MIXED,30,malloc,65240,0.9990311861,67043848,64896
MIXED,31,malloc,7458,0.9990311861,67043848,64896
MIXED,32,malloc,61165,0.9990311861,67043848,64896
MIXED,33,malloc,50728,0.9990311861,67043848,64896
MIXED,34,malloc,28299,0.9990311861,67043848,64896
MIXED,35,malloc,22728,0.9990311861,67043848,64896
MIXED,36,malloc,11743,0.9990311861,67043848,64896
MIXED,37,malloc,38250,0.9990311861,67043848,64896
MIXED,38,malloc,43652,0.9990311861,67043848,64896
MIXED,39,malloc,2610,0.9990311861,67043848,64896
MIXED,40,free,0,0.9982038736,66988328,64896
MIXED,41,free,0,0.9686678052,65006196,64896
MIXED,42,free,0,0.9419003129,63209860,64896
MIXED,43,free,0,0.9181639552,61616940,64896
MIXED,44,free,0,0.8917477727,59844180,64896
MIXED,45,free,0,0.8659304976,58111612,64896
MIXED,46,free,0,0.8399447203,56367736,64896
MIXED,47,free,0,0.8155394793,54729928,64896
MIXED,48,free,0,0.7924055457,53177436,64896
MIXED,49,free,0,0.7655392885,51374472,64896
MIXED,50,free,0,0.7412900329,49747132,64896
MIXED,51,free,0,0.7178896666,48176760,64896
MIXED,52,free,0,0.6983696222,46866792,64896
MIXED,53,free,0,0.6718849540,45089436,64896
MIXED,54,free,0,0.6473724246,43444428,64896
MIXED,55,free,0,0.6212716699,41692836,64896
MIXED,56,free,0,0.5959321856,39992332,64896
MIXED,57,free,0,0.5780878067,38794816,64896
MIXED,58,free,0,0.5551326871,37254324,64896
MIXED,59,free,0,0.5294287801,35529364,64896
MIXED,60,free,0,0.5021451712,33698392,64896
MIXED,61,malloc,10683,0.4970738292,33358060,64896
MIXED,62,malloc,14144,0.5445709229,36545536,67680
MIXED,63,malloc,22777,0.5891144872,39534804,70208
MIXED,64,malloc,32174,0.6286802292,42190016,72544
MIXED,65,malloc,9281,0.6652555466,44644544,74816
MIXED,66,malloc,61349,0.6976474524,46818328,77088
MIXED,67,malloc,33793,0.7260712385,48725816,79232
MIXED,68,malloc,55740,0.7602610588,51020256,81536
MIXED,69,malloc,60275,0.7895185351,52983692,83616
MIXED,70,malloc,44924,0.8129524589,54556316,85472
MIXED,71,malloc,48655,0.8375727534,56208556,87552
MIXED,72,malloc,20981,0.8552502394,57394872,89216
MIXED,73,malloc,33735,0.8739607334,58650512,90848
MIXED,74,malloc,9975,0.8898366094,59715924,92512
MIXED,75,malloc,27013,0.9049198627,60728144,94208
MIXED,76,malloc,35792,0.9174526334,61569204,95616
MIXED,77,malloc,26073,0.9271910191,62222736,96928
MIXED,78,malloc,29833,0.9356334805,62789300,97984
MIXED,79,malloc,41199,0.9420527220,63220088,99008
MIXED,80,malloc,52675,0.9488160014,63673964,100064
MIXED,81,free,0,0.4587557912,30786580,70464
MIXED,82,free,0,0.4112555385,27598892,65888
MIXED,83,free,0,0.3667088151,24609412,61376
MIXED,84,free,0,0.3271405697,21954032,57248
MIXED,85,free,0,0.2905616760,19499264,52800
MIXED,86,free,0,0.2297434211,15417820,44320
MIXED,87,free,0,0.1428536773,9586748,32160
MIXED,88,free,0,0.1005530953,6748004,24768
