policy,event,op,req_bytes,utilization,cur_inuse_bytes,overhead_bytes
WORST_FIT,0,malloc,55517,0.0008273125,55520,64
WORST_FIT,1,malloc,19671,0.0579414964,3888388,3264
WORST_FIT,2,malloc,34271,0.1098973751,7375088,6464
WORST_FIT,3,malloc,7012,0.1549789310,10400460,9664
WORST_FIT,4,malloc,22263,0.2088937759,14018624,12864
WORST_FIT,5,malloc,15060,0.2568583488,17237472,16064
WORST_FIT,6,malloc,28335,0.3115651011,20908780,19264
WORST_FIT,7,malloc,41676,0.3613332510,24248664,22464
WORST_FIT,8,malloc,26160,0.4110516310,27585208,25664
WORST_FIT,9,malloc,62101,0.4590567946,30806780,28864
WORST_FIT,10,malloc,27392,0.5109800696,34291292,32064
WORST_FIT,11,malloc,57069,0.5564615726,37343504,35264
WORST_FIT,12,malloc,4487,0.6014901996,40365324,38464
WORST_FIT,13,malloc,19403,0.6497880816,43606540,41664
WORST_FIT,14,malloc,47319,0.6981302500,46850728,44864
WORST_FIT,15,malloc,19590,0.7486255765,50239412,48064
WORST_FIT,16,malloc,63966,0.7968010902,53472416,51264
WORST_FIT,17,malloc,50072,0.8386494517,56280812,54464
WORST_FIT,18,malloc,55428,0.8872936368,59545268,57664
WORST_FIT,19,malloc,59271,0.9371169806,62888856,60864
WORST_FIT,20,malloc,4983,0.9886814356,66349288,64064
WORST_FIT,21,malloc,8900,0.9990311861,67043848,64896
WORST_FIT,22,malloc,63203,0.9990311861,67043848,64896
WORST_FIT,23,malloc,16222,0.9990311861,67043848,64896
WORST_FIT,24,malloc,12634,0.9990311861,67043848,64896
WORST_FIT,25,malloc,33683,0.9990311861,67043848,64896
WORST_FIT,26,malloc,19487,0.9990311861,67043848,64896
WORST_FIT,27,malloc,565,0.9990311861,67043848,64896
WORST_FIT,28,malloc,63287,0.9990311861,67043848,64896
WORST_FIT,29,malloc,38612,0.9990311861,67043848,64896
WORST_FIT,30,malloc,65240,0.9990311861,67043848,64896
WORST_FIT,31,malloc,7458,0.9990311861,67043848,64896
WORST_FIT,32,malloc,61165,0.9990311861,67043848,64896
WORST_FIT,33,malloc,50728,0.9990311861,67043848,64896
WORST_FIT,34,malloc,28299,0.9990311861,67043848,64896
WORST_FIT,35,malloc,22728,0.9990311861,67043848,64896
WORST_FIT,36,malloc,11743,0.9990311861,67043848,64896
WORST_FIT,37,malloc,38250,0.9990311861,67043848,64896
WORST_FIT,38,malloc,43652,0.9990311861,67043848,64896
WORST_FIT,39,malloc,2610,0.9990311861,67043848,64896
WORST_FIT,40,free,0,0.9982038736,66988328,64896
WORST_FIT,41,free,0,0.9686678052,65006196,64896
WORST_FIT,42,free,0,0.9419003129,63209860,64896
WORST_FIT,43,free,0,0.9181639552,61616940,64896
WORST_FIT,44,free,0,0.8917477727,59844180,64896
WORST_FIT,45,free,0,0.8659304976,58111612,64896
WORST_FIT,46,free,0,0.8399447203,56367736,64896
WORST_FIT,47,free,0,0.8155394793,54729928,64896
WORST_FIT,48,free,0,0.7924055457,53177436,64896
WORST_FIT,49,free,0,0.7655392885,51374472,64896
WORST_FIT,50,free,0,0.7412900329,49747132,64896
WORST_FIT,51,free,0,0.7178896666,48176760,64896
WORST_FIT,52,free,0,0.6983696222,46866792,64896
WORST_FIT,53,free,0,0.6718849540,45089436,64896
WORST_FIT,54,free,0,0.6473724246,43444428,64896
WORST_FIT,55,free,0,0.6212716699,41692836,64896
WORST_FIT,56,free,0,0.5959321856,39992332,64896
WORST_FIT,57,free,0,0.5780878067,38794816,64896
WORST_FIT,58,free,0,0.5551326871,37254324,64896
WORST_FIT,59,free,0,0.5294287801,35529364,64896
WORST_FIT,60,free,0,0.5021451712,33698392,64896
WORST_FIT,61,malloc,10683,0.4970738292,33358060,64928
WORST_FIT,62,malloc,14144,0.5426999331,36419976,68032
WORST_FIT,63,malloc,22777,0.5820626616,39061564,70880
WORST_FIT,64,malloc,32174,0.6080223918,40803692,73152
WORST_FIT,65,malloc,9281,0.6326805353,42458472,75520
WORST_FIT,66,malloc,61349,0.6544438601,43918984,77664
WORST_FIT,67,malloc,33793,0.6716210842,45071728,79648
WORST_FIT,68,malloc,55740,0.6914726496,46403944,81632
WORST_FIT,69,malloc,60275,0.7079598904,47510384,83552
WORST_FIT,70,malloc,44924,0.7228310704,48508372,85216
WORST_FIT,71,malloc,48655,0.7395227551,49628532,87136
WORST_FIT,72,malloc,20981,0.7486503720,50241076,88544
WORST_FIT,73,malloc,33735,0.7589452267,50931952,89888
WORST_FIT,74,malloc,9975,0.7686442733,51582844,91264
WORST_FIT,75,malloc,27013,0.7793939114,52304240,92928
WORST_FIT,76,malloc,35792,0.7901854515,53028448,94400
WORST_FIT,77,malloc,26073,0.7978481650,53542684,95744
WORST_FIT,78,malloc,29833,0.8055125475,54057032,96960
WORST_FIT,79,malloc,41199,0.8111922145,54438188,98112
WORST_FIT,80,malloc,52675,0.8165297508,54796384,99104
WORST_FIT,81,free,0,0.3268117905,21931968,57216
WORST_FIT,82,free,0,0.2811856866,18870052,52928
WORST_FIT,83,free,0,0.2418229580,16228464,48832
WORST_FIT,84,free,0,0.2158632278,14486336,45632
WORST_FIT,85,free,0,0.1912050843,12831556,42336
WORST_FIT,86,free,0,0.1522645354,10218300,36480
WORST_FIT,87,free,0,0.0752352476,5048952,21856
WORST_FIT,88,free,0,0.0552413464,3707184,17152
WORST_FIT,89,free,0,0.0444917083,2985788,14272
WORST_FIT,90,malloc,24570,0.0003661513,24572,64
WORST_FIT,91,malloc,20410,0.0509168506,3416972,3264
WORST_FIT,92,malloc,18531,0.0992060900,6657608,6464
WORST_FIT,93,malloc,26577,0.1456364393,9773496,9664
WORST_FIT,94,malloc,12681,0.1935822964,12991088,12864
WORST_FIT,95,malloc,16441,0.2395305037,16074620,16064
